Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,               83.80,               11.19,              126.10,0.0
10,              163.66,               11.23,              262.14,0.0
15,              224.54,               11.27,              400.10,0.0
20,              261.09,               11.29,              518.10,0.0
25,              283.53,               11.31,              640.10,0.0
30,              296.67,               11.35,              763.10,0.0
35,              304.52,               11.37,              880.10,0.0
40,              311.41,               11.41,              983.10,0.0
45,              314.17,               11.47,             1104.10,0.0
50,              316.34,               11.55,             1203.19,0.0
55,              316.42,               11.69,             1203.27,0.0
60,              317.61,               15.37,             1203.31,0.0
65,              322.99,               31.71,             1203.37,0.0
70,              340.01,               45.27,             1203.45,0.0
75,              378.14,               70.27,             1203.59,0.0
80,              430.68,               86.33,             1214.41,0.0
85,              528.02,              240.45,             1252.10,0.0
90,              705.47,              422.51,             1304.23,0.0
95,             1020.69,              675.55,             1452.10,0.0
100,             2249.47,             1965.10,             2396.10,0.0
