Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.24,                0.21,                0.25,0.0
10,                0.29,                0.27,                0.31,0.0
15,                0.34,                0.31,                0.37,0.0
20,                0.40,                0.37,                0.43,0.0
25,                0.47,                0.43,                0.51,0.0
30,                0.59,                0.53,                0.65,0.0
35,               12.26,                1.17,               32.17,0.0
40,               12.44,                1.23,               32.23,0.0
45,               12.61,                1.29,               32.27,0.0
50,               12.81,                1.33,               32.33,0.0
55,               13.01,                1.39,               32.39,0.0
60,               13.21,                1.45,               32.43,0.0
65,               13.35,                1.55,               32.53,0.0
70,               14.48,                1.73,               32.69,0.0
75,               25.38,                4.69,               80.45,0.0
80,               65.40,               25.51,              140.21,0.0
85,              149.47,               76.21,              220.43,0.0
90,              321.83,              166.33,              452.31,0.0
95,              666.96,              401.59,              878.10,0.0
100,             2116.28,             1513.10,             2398.10,0.0
