Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.27,                0.25,                0.31,0.0
10,                0.36,                0.31,                0.39,0.0
15,                0.46,                0.41,                0.51,0.0
20,                0.83,                0.69,                1.11,0.0
25,               15.00,                1.19,               58.23,0.0
30,               15.05,                1.23,               58.29,0.0
35,               15.10,                1.25,               58.35,0.0
40,               15.35,                1.27,               58.39,0.0
45,               15.63,                1.29,               58.51,0.0
50,               15.87,                1.33,               58.73,0.0
55,               16.52,                1.35,               70.25,0.0
60,               17.52,                1.43,               70.35,0.0
65,               19.51,                1.53,               71.31,0.0
70,               28.82,                5.23,               81.39,0.0
75,               51.32,                5.57,              122.43,0.0
80,              111.81,               58.27,              188.25,0.0
85,              215.20,              137.53,              319.10,0.0
90,              398.75,              263.35,              540.31,0.0
95,              772.30,              610.47,              960.23,0.0
100,             2202.19,             1909.53,             2379.10,0.0
